Ultimo,Abertura,Maxima,Minima,Ultimo_2,Abertura_2,Maxima_2,Minima_2,Ultimo_3,Abertura_3,Maxima_3,Minima_3,Dia_seguinte
0.9983,0.9983,0.9997,0.9914,0.9975,0.9984,0.9997,0.9923,0.9972,0.9975,0.9984,0.9965,0.9982
0.9975,0.9984,0.9997,0.9923,0.9972,0.9975,0.9984,0.9965,0.9982,0.9971,0.9994,0.9964,0.9979
0.9972,0.9975,0.9984,0.9965,0.9982,0.9971,0.9994,0.9964,0.9979,0.9980,0.9998,0.9974,0.9991
0.9982,0.9971,0.9994,0.9964,0.9979,0.9980,0.9998,0.9974,0.9991,0.9979,1.0002,0.9972,0.9983
0.9979,0.9980,0.9998,0.9974,0.9991,0.9979,1.0002,0.9972,0.9983,0.9991,1.0001,0.9978,0.9988
0.9991,0.9979,1.0002,0.9972,0.9983,0.9991,1.0001,0.9978,0.9988,0.9983,1.0001,0.9967,0.9977
0.9983,0.9991,1.0001,0.9978,0.9988,0.9983,1.0001,0.9967,0.9977,0.9988,0.9992,0.9972,0.9991
0.9988,0.9983,1.0001,0.9967,0.9977,0.9988,0.9992,0.9972,0.9991,0.9977,1.0000,0.9970,0.9978
0.9977,0.9988,0.9992,0.9972,0.9991,0.9977,1.0000,0.9970,0.9978,0.9991,1.0002,0.9942,0.9990
0.9991,0.9977,1.0000,0.9970,0.9978,0.9991,1.0002,0.9942,0.9990,0.9978,0.9999,0.9974,1.0000
0.9978,0.9991,1.0002,0.9942,0.9990,0.9978,0.9999,0.9974,1.0000,0.9990,1.0006,0.9988,1.0007
0.9990,0.9978,0.9999,0.9974,1.0000,0.9990,1.0006,0.9988,1.0007,1.0000,1.0023,0.9998,1.0014
1.0000,0.9990,1.0006,0.9988,1.0007,1.0000,1.0023,0.9998,1.0014,1.0008,1.0043,1.0005,1.0004
1.0007,1.0000,1.0023,0.9998,1.0014,1.0008,1.0043,1.0005,1.0004,1.0014,1.0018,0.9981,1.0017
1.0014,1.0008,1.0043,1.0005,1.0004,1.0014,1.0018,0.9981,1.0017,1.0004,1.0029,0.9994,1.0015
1.0004,1.0014,1.0018,0.9981,1.0017,1.0004,1.0029,0.9994,1.0015,1.0017,1.0051,0.9991,1.0007
1.0017,1.0004,1.0029,0.9994,1.0015,1.0017,1.0051,0.9991,1.0007,1.0015,1.0032,1.0003,1.0020
1.0015,1.0017,1.0051,0.9991,1.0007,1.0015,1.0032,1.0003,1.0020,1.0007,1.0032,0.9992,1.0023
1.0007,1.0015,1.0032,1.0003,1.0020,1.0007,1.0032,0.9992,1.0023,1.0020,1.0039,1.0016,1.0017
1.0020,1.0007,1.0032,0.9992,1.0023,1.0020,1.0039,1.0016,1.0017,1.0023,1.0039,1.0007,1.0011
1.0023,1.0020,1.0039,1.0016,1.0017,1.0023,1.0039,1.0007,1.0011,1.0017,1.0018,1.0000,1.0004
1.0017,1.0023,1.0039,1.0007,1.0011,1.0017,1.0018,1.0000,1.0004,1.0011,1.0017,1.0002,1.0021
1.0011,1.0017,1.0018,1.0000,1.0004,1.0011,1.0017,1.0002,1.0021,1.0004,1.0042,1.0002,1.0015
1.0004,1.0011,1.0017,1.0002,1.0021,1.0004,1.0042,1.0002,1.0015,1.0021,1.0035,1.0008,1.0021
1.0021,1.0004,1.0042,1.0002,1.0015,1.0021,1.0035,1.0008,1.0021,1.0015,1.0044,0.9997,1.0011
1.0015,1.0021,1.0035,1.0008,1.0021,1.0015,1.0044,0.9997,1.0011,1.0021,1.0073,1.0004,0.9989
1.0021,1.0015,1.0044,0.9997,1.0011,1.0021,1.0073,1.0004,0.9989,1.0011,1.0038,0.9981,0.9984
1.0011,1.0021,1.0073,1.0004,0.9989,1.0011,1.0038,0.9981,0.9984,0.9989,0.9995,0.9980,0.9995
0.9989,1.0011,1.0038,0.9981,0.9984,0.9989,0.9995,0.9980,0.9995,0.9984,1.0001,0.9984,0.9987
0.9984,0.9989,0.9995,0.9980,0.9995,0.9984,1.0001,0.9984,0.9987,0.9995,1.0003,0.9959,0.9992
0.9995,0.9984,1.0001,0.9984,0.9987,0.9995,1.0003,0.9959,0.9992,0.9990,1.0016,0.9986,0.9991
0.9987,0.9995,1.0003,0.9959,0.9992,0.9990,1.0016,0.9986,0.9991,0.9992,1.0004,0.9984,0.9989
0.9992,0.9990,1.0016,0.9986,0.9991,0.9992,1.0004,0.9984,0.9989,0.9991,0.9999,0.9985,0.9988
0.9991,0.9992,1.0004,0.9984,0.9989,0.9991,0.9999,0.9985,0.9988,0.9989,1.0000,0.9985,0.9991
